instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,month_name,month_year,season_label,weather_label,weekday_label,day_type,temp_celsius,atemp_celsius,humidity_percent,windspeed_kmh,casual_share,registered_share,demand_segment
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,15.58,19.695,76.0,16.997899999999998,0.3333333333333333,0.6666666666666666,Low
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,14.76,16.665,81.0,19.0012,0.4642857142857143,0.5357142857142857,Medium
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Saturday,Non-Working Day,17.22,21.21,77.0,19.0012,0.34523809523809523,0.6547619047619048,Medium
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,18.86,22.725,72.0,19.999499999999998,0.5,0.5,Medium
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,18.86,22.725,72.0,19.0012,0.330188679245283,0.6698113207547169,Medium
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,18.04,21.97,77.0,19.999499999999998,0.36363636363636365,0.6363636363636364,Medium
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,17.22,21.21,82.0,19.999499999999998,0.44086021505376344,0.5591397849462365,Medium
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,18.04,21.97,82.0,19.0012,0.22388059701492538,0.7761194029850746,Medium
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Saturday,Non-Working Day,17.22,21.21,88.0,16.997899999999998,0.2571428571428571,0.7428571428571429,Low
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Saturday,Non-Working Day,17.22,21.21,88.0,16.997899999999998,0.16216216216216217,0.8378378378378378,Low
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,16.400000000000002,20.455000000000002,87.0,16.997899999999998,0.3055555555555556,0.6944444444444444,Low
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,16.400000000000002,20.455000000000002,87.0,12.998000000000001,0.08823529411764706,0.9117647058823529,Low
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,16.400000000000002,20.455000000000002,94.0,15.001299999999999,0.39285714285714285,0.6071428571428571,Low
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Saturday,Non-Working Day,18.86,22.725,88.0,19.999499999999998,0.38461538461538464,0.6153846153846154,Low
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,18.86,22.725,88.0,19.999499999999998,0.23529411764705882,0.7647058823529411,Low
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,18.04,21.97,94.0,16.997899999999998,0.058823529411764705,0.9411764705882353,Low
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,17.22,21.21,100.0,19.0012,0.1111111111111111,0.8888888888888888,Low
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,18.86,22.725,94.0,12.998000000000001,0.3333333333333333,0.6666666666666666,Low
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,18.86,22.725,94.0,12.998000000000001,0.6666666666666666,0.3333333333333333,Low
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Sunday,Non-Working Day,17.22,21.21,77.0,19.999499999999998,0.0,1.0,Low
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0.0,1.0,Low
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Sunday,Non-Working Day,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0.0,1.0,Low
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,15.58,19.695,76.0,15.001299999999999,0.05,0.95,Low
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,14.76,17.424999999999997,81.0,15.001299999999999,0.1320754716981132,0.8679245283018868,Medium
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,14.76,16.665,71.0,16.997899999999998,0.22857142857142856,0.7714285714285715,Medium
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,14.76,16.665,66.0,19.999499999999998,0.21505376344086022,0.7849462365591398,Medium
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,14.76,17.424999999999997,66.0,8.9981,0.14666666666666667,0.8533333333333334,Medium
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Sunday,Non-Working Day,14.76,17.424999999999997,76.0,12.998000000000001,0.06779661016949153,0.9322033898305084,Medium
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Sunday,Non-Working Day,13.940000000000001,16.665,81.0,11.0014,0.25675675675675674,0.7432432432432432,Medium
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011,1,Jan,2011-01,Spring,Light Snow / Light Rain,Sunday,Non-Working Day,13.940000000000001,16.665,71.0,11.0014,0.11842105263157894,0.881578947368421,Medium
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Sunday,Non-Working Day,13.940000000000001,16.665,56.99999999999999,12.998000000000001,0.1076923076923077,0.8923076923076924,Medium
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Sunday,Non-Working Day,14.76,16.665,46.0,22.0028,0.18867924528301888,0.8113207547169812,Medium
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Sunday,Non-Working Day,13.120000000000001,14.395,42.0,30.002599999999997,0.03333333333333333,0.9666666666666667,Low
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Sunday,Non-Working Day,12.299999999999999,13.635,39.0,23.9994,0.22727272727272727,0.7727272727272727,Low
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Sunday,Non-Working Day,10.66,11.365,44.0,22.0028,0.3548387096774194,0.6451612903225806,Low
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Sunday,Non-Working Day,9.84,10.605,44.0,19.999499999999998,0.0,1.0,Low
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Sunday,Non-Working Day,9.02,11.365,47.0,11.0014,0.0,1.0,Low
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,9.02,9.85,44.0,23.9994,0.0,1.0,Low
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0.0,1.0,Low
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,6.5600000000000005,6.819999999999999,47.0,26.0027,0.0,1.0,Low
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,6.5600000000000005,6.819999999999999,47.0,19.0012,0.0,1.0,Low
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,5.74,5.305,50.0,26.0027,0.0,1.0,Low
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,5.74,6.819999999999999,50.0,12.998000000000001,0.015625,0.984375,Medium
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,5.74,6.0600000000000005,50.0,19.0012,0.006493506493506494,0.9935064935064936,High
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,6.5600000000000005,6.819999999999999,43.0,26.0027,0.07954545454545454,0.9204545454545454,Medium
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,7.38,8.334999999999999,43.0,16.997899999999998,0.25,0.75,Medium
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,8.200000000000001,9.09,40.0,22.0028,0.19607843137254902,0.803921568627451,Medium
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,9.02,10.605,35.0,19.999499999999998,0.21311475409836064,0.7868852459016393,Medium
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,9.84,10.605,35.0,19.0012,0.13114754098360656,0.8688524590163934,Medium
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,10.66,12.120000000000001,30.0,19.0012,0.14285714285714285,0.8571428571428571,Medium
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,10.66,12.120000000000001,30.0,16.997899999999998,0.19444444444444445,0.8055555555555556,Medium
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,10.66,12.120000000000001,30.0,16.997899999999998,0.11842105263157894,0.881578947368421,Medium
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,9.84,11.365,30.0,15.001299999999999,0.07006369426751592,0.9299363057324841,High
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,9.84,12.879999999999999,32.0,7.0015,0.05732484076433121,0.9426751592356688,High
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,8.200000000000001,12.879999999999999,47.0,0.0,0.07272727272727272,0.9272727272727272,Medium
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,8.200000000000001,11.365,47.0,7.0015,0.057692307692307696,0.9423076923076923,Medium
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,7.38,9.85,64.0,8.9981,0.057692307692307696,0.9423076923076923,Medium
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,5.74,7.575,69.0,8.9981,0.0,1.0,Low
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Monday,Working Day,7.38,10.605,55.00000000000001,7.0015,0.08333333333333333,0.9166666666666666,Low
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,6.5600000000000005,9.09,55.00000000000001,7.0015,0.0,1.0,Low
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,6.5600000000000005,9.09,59.0,7.0015,0.0,1.0,Low
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,5.74,7.575,63.0,8.9981,0.0,1.0,Low
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,5.74,9.09,63.0,6.0032,0.0,1.0,Low
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,4.92,7.575,68.0,7.0015,0.0,1.0,Low
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,4.92,7.575,74.0,7.0015,0.0,1.0,Low
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,4.92,7.575,74.0,8.9981,0.02127659574468085,0.9787234042553191,Medium
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,5.74,7.575,69.0,11.0014,0.0111731843575419,0.9888268156424581,High
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,6.5600000000000005,7.575,64.0,15.001299999999999,0.02,0.98,Medium
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011,1,Jan,2011-01,Spring,Mist / Cloudy,Tuesday,Working Day,6.5600000000000005,6.819999999999999,69.0,22.0028,0.11904761904761904,0.8809523809523809,Medium
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.02,10.605,51.0,19.999499999999998,0.12280701754385964,0.8771929824561403,Medium
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.02,11.365,51.0,11.0014,0.15384615384615385,0.8461538461538461,Medium
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.84,11.365,56.00000000000001,12.998000000000001,0.18556701030927836,0.8144329896907216,Medium
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,10.66,12.879999999999999,52.0,15.001299999999999,0.14285714285714285,0.8571428571428571,Medium
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,11.48,13.635,52.0,16.997899999999998,0.26153846153846155,0.7384615384615385,Medium
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,12.299999999999999,14.395,49.0,16.997899999999998,0.18072289156626506,0.8192771084337349,Medium
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,11.48,13.635,48.0,15.001299999999999,0.04716981132075472,0.9528301886792453,High
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,10.66,12.879999999999999,48.0,12.998000000000001,0.016483516483516484,0.9835164835164835,High
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.84,12.879999999999999,48.0,7.0015,0.017857142857142856,0.9821428571428571,Medium
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.84,12.879999999999999,48.0,7.0015,0.018518518518518517,0.9814814814814815,Medium
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.02,13.635,64.0,0.0,0.0,1.0,Medium
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,9.02,12.879999999999999,64.0,6.0032,0.02857142857142857,0.9714285714285714,Low
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Tuesday,Working Day,8.200000000000001,11.365,69.0,6.0032,0.18181818181818182,0.8181818181818182,Low
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,8.200000000000001,12.879999999999999,64.0,0.0,0.0,1.0,Low
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,6.5600000000000005,9.85,74.0,6.0032,0.0,1.0,Low
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,6.5600000000000005,9.85,74.0,6.0032,0.0,1.0,Low
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,9.84,11.365,48.0,15.001299999999999,0.0,1.0,Low
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,9.02,11.365,47.0,11.0014,0.0,1.0,Low
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,8.200000000000001,9.85,47.0,15.001299999999999,0.0,1.0,Low
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,7.38,9.09,43.0,12.998000000000001,0.011363636363636364,0.9886363636363636,Medium
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,8.200000000000001,9.09,40.0,19.999499999999998,0.015384615384615385,0.9846153846153847,High
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,9.02,9.85,37.0,22.0028,0.05217391304347826,0.9478260869565217,Medium
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,9.02,9.85,37.0,22.0028,0.07017543859649122,0.9298245614035088,Medium
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,10.66,11.365,33.0,22.0028,0.2608695652173913,0.7391304347826086,Medium
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,10.66,11.365,33.0,22.0028,0.06329113924050633,0.9367088607594937,Medium
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,11.48,12.879999999999999,30.0,19.999499999999998,0.08450704225352113,0.9154929577464789,Medium
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,2011,1,Jan,2011-01,Spring,Clear / Partly Cloudy,Wednesday,Working Day,12.299999999999999,14.395,28.000000000000004,12.998000000000001,0.16129032258064516,0.8387096774193549,Medium
